anna may wong
asmaa mahfouz
aung san suu kyi
benazir bhutto
faye wong
fu hao
hanan al-shaykh
hanan ashrawi
indira gandhi
izumi shikibu
lata mangeshkar
leila khaled
makoto ogawa
malala yousafzai
margaret cho
mary magdalene
michelle wie
mona eltahawy
mumtaz mahal
nawal el saadawi
phoolan devi
sadako sasaki
samira makhmalbaf
sarah chang
sarojini naidu
sima samar
vera wang
yoko ono
